"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"869",869,"P28799","f[(1)](id, age), f[(2)](age)",0.26,0.254,0.011,0.011,0.001,0.463,1.002,189,21,11,0,4,11,0
"870",870,"P28838","f[(1)](id, age), f[(2)](age)",0.114,0.048,0.035,0.01,0.002,0.792,1.002,189,21,11,0,3,6,0
"871",871,"P29218","f[(1)](id, age), f[(2)](age)",0.207,0.063,0.004,0.005,0.004,0.717,1.005,171,19,11,0,1,11,0
"872",872,"P29279","f[(1)](id, age), f[(2)](age)",0.402,0.252,0.005,0.029,0.002,0.31,1.002,189,21,11,0,1,11,0
"873",873,"P29350","f[(2)](age), f[(3)](diseaseAge), f[(1)](id, age)",0.033,0.083,0.079,0.027,0.007,0.772,1.005,189,21,11,0,3,3,0
"874",874,"P29401","f[(1)](id, age)",0.386,0.018,0.007,0.001,0.002,0.586,1.002,189,21,11,0,3,10,0
"875",875,"P29622","f[(1)](id, age)",0.711,0.021,0.003,0.001,0.003,0.261,1.003,189,21,11,0,3,11,0
"876",876,"P30040","f[(1)](id, age), f[(2)](age)",0.072,0.05,0.017,0.015,0.007,0.84,1.003,180,20,11,0,3,11,0
"877",877,"P30041","f[(2)](age), f[(1)](id, age)",0.213,0.266,0.004,0.005,0.001,0.513,1.002,189,21,11,0,3,11,0
"878",878,"P30043","f[(2)](age), f[(1)](id, age), f[(3)](diseaseAge)",0.162,0.429,0.033,0.007,0.012,0.357,1.003,189,21,11,0,5,8,0
"879",879,"P30044","f[(1)](id, age)",0.579,0.018,0.009,0.006,0.01,0.378,1.002,188,21,11,0,3,9,0
"880",880,"P30048","f[(1)](id, age), f[(5)](group)",0.588,0.026,0.005,0.016,0.078,0.288,1.002,117,13,5,0,1,5,0
"881",881,"P30085","f[(1)](id, age), f[(2)](age)",0.068,0.06,0.025,0.006,0.001,0.84,1.002,173,20,10,0,3,8,0
"882",882,"P30086","f[(2)](age), f[(1)](id, age)",0.092,0.166,0.004,0.003,0.002,0.732,1.003,189,21,11,0,1,11,0
"883",883,"P30101","f[(1)](id, age), f[(2)](age)",0.076,0.074,0.005,0.017,0.001,0.828,1.002,189,21,11,0,2,11,0
"884",884,"P30153","f[(1)](id, age), f[(2)](age)",0.163,0.097,0.011,0.013,0.002,0.714,1.004,135,15,9,0,3,9,0
"885",885,"P30405","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.19,0.113,0.009,0.036,0.008,0.644,1.002,153,17,11,0,0,11,0
"886",886,"P30460","f[(1)](id, age), f[(5)](group), f[(2)](age)",0.527,0.053,0.003,0.004,0.237,0.176,1.003,153,17,11,0,4,11,0
"887",887,"P30508","f[(1)](id, age)",0.96,0.012,0,0.001,0.002,0.024,1.002,189,21,11,0,3,11,0
"888",888,"P30530","f[(1)](id, age), f[(2)](age)",0.52,0.147,0.004,0.017,0.001,0.311,1.004,189,21,11,0,4,11,0
"889",889,"P30740","f[(2)](age), f[(1)](id, age)",0.069,0.111,0.008,0.016,0.006,0.79,1.004,189,21,11,0,3,11,0
"890",890,"P31146","f[(2)](age), f[(1)](id, age)",0.045,0.118,0.011,0.012,0.001,0.813,1.002,189,21,11,0,4,10,0
"891",891,"P31150","f[(1)](id, age), f[(2)](age)",0.095,0.072,0.014,0.017,0.002,0.799,1.002,189,21,11,0,2,11,0
"892",892,"P31153","f[(1)](id, age), f[(2)](age)",0.262,0.073,0.016,0.001,0.008,0.64,1.002,153,17,8,0,2,7,0
"893",893,"P31939","f[(2)](age), f[(1)](id, age)",0.086,0.123,0.004,0.001,0.001,0.785,1.003,189,21,11,0,0,11,0
"894",894,"P31944","f[(5)](group), f[(1)](id, age)",0.049,0.007,0.035,0.004,0.125,0.781,1.003,126,14,10,0,5,6,0
"895",895,"P31946","f[(2)](age), f[(1)](id, age)",0.056,0.094,0.003,0.008,0.002,0.837,1.003,189,21,11,0,1,11,0
"896",896,"P31947","f[(2)](age), f[(1)](id, age)",0.071,0.124,0.008,0.016,0.001,0.781,1.004,180,20,10,0,1,10,0
"897",897,"P31948","f[(1)](id, age), f[(2)](age)",0.145,0.11,0.004,0.009,0.003,0.729,1.003,189,21,11,0,1,11,0
"898",898,"P31949","f[(1)](id, age), f[(4)](sex, age)",0.144,0.022,0.015,0.091,0.002,0.726,1.003,144,16,10,0,2,10,0
"899",899,"P32004","f[(1)](id, age), f[(2)](age)",0.468,0.098,0.018,0.018,0.011,0.387,1.003,189,21,11,0,5,7,0
"900",900,"P32119","f[(2)](age), f[(1)](id, age)",0.182,0.434,0.028,0.005,0.002,0.35,1.001,189,21,11,0,4,8,0
"901",901,"P32320","f[(1)](id, age)",0.699,0.005,0.005,0.015,0.006,0.27,1.002,144,16,11,0,3,11,0
"902",902,"P32754","f[(1)](id, age)",0.536,0.011,0.003,0.001,0.011,0.438,1.003,144,16,8,0,1,8,0
"903",903,"P32942","f[(1)](id, age), f[(2)](age)",0.385,0.19,0.005,0.01,0.023,0.388,1.003,189,21,11,0,4,11,0
"904",904,"P33151","f[(1)](id, age), f[(2)](age)",0.67,0.055,0.002,0.011,0.002,0.259,1.002,189,21,11,0,1,11,0
"905",905,"P33908","f[(1)](id, age), f[(2)](age)",0.307,0.053,0.017,0.005,0.004,0.614,1.002,189,21,11,0,4,10,0
"906",906,"P34059","f[(1)](id, age), f[(2)](age)",0.624,0.088,0.008,0.015,0.008,0.257,1.002,144,16,10,0,5,9,0
"907",907,"P34096","f[(1)](id, age)",0.525,0.032,0.006,0.003,0.001,0.433,1.002,189,21,11,0,5,11,0
"908",908,"P34932","f[(1)](id, age), f[(2)](age)",0.197,0.047,0.002,0.016,0.002,0.736,1.003,189,21,11,0,0,11,0
"909",909,"P35052","f[(1)](id, age), f[(4)](sex, age), f[(2)](age)",0.422,0.075,0.003,0.178,0.033,0.288,1.003,189,21,11,0,0,11,0
"910",910,"P35241","f[(1)](id, age)",0.068,0.003,0.006,0.025,0.011,0.887,1.004,126,14,8,0,2,8,0
"911",911,"P35247","f[(1)](id, age)",0.694,0.036,0.002,0.001,0.001,0.266,1.003,171,19,10,0,1,10,0
"912",912,"P35442","f[(2)](age), f[(1)](id, age)",0.21,0.345,0.011,0.013,0.012,0.409,1.003,189,21,11,0,3,11,0
"913",913,"P35443","f[(2)](age), f[(1)](id, age)",0.177,0.179,0.002,0.006,0.011,0.625,1.002,189,21,11,0,1,11,0
"914",914,"P35527","f[(1)](id, age)",0.301,0.012,0.003,0.004,0.001,0.679,1.002,189,21,11,0,1,11,0
"915",915,"P35555","f[(1)](id, age), f[(2)](age)",0.39,0.036,0.005,0.007,0.004,0.559,1.003,189,21,11,0,3,11,0
"916",916,"P35579","f[(2)](age), f[(1)](id, age)",0.099,0.149,0.016,0.003,0.002,0.732,1.003,189,21,11,0,5,8,0
"917",917,"P35590","f[(1)](id, age), f[(5)](group)",0.71,0.01,0.003,0.001,0.067,0.21,1.003,189,21,11,0,1,11,0
"918",918,"P35754","f[(1)](id, age), f[(3)](diseaseAge)",0.381,0.005,0.043,0.002,0.019,0.55,1.002,142,16,11,0,7,8,0
"919",919,"P35813","f[(1)](id, age)",0.061,0.013,0.006,0.016,0.001,0.904,1.002,188,21,11,0,2,11,0
"920",920,"P35858","f[(1)](id, age), f[(2)](age)",0.661,0.257,0.002,0.02,0.009,0.052,1.002,189,21,11,0,4,11,0
"921",921,"P35968","f[(1)](id, age), f[(3)](diseaseAge)",0.552,0.025,0.216,0.008,0.003,0.196,1.002,171,19,9,0,1,1,0
"922",922,"P36222","f[(1)](id, age), f[(2)](age)",0.554,0.069,0.003,0.002,0.04,0.331,1.006,189,21,11,0,3,11,0
"923",923,"P36269","f[(1)](id, age), f[(5)](group)",0.631,0.001,0.007,0.034,0.064,0.263,1.002,157,18,11,0,2,9,0
"924",924,"P36871","f[(1)](id, age), f[(4)](sex, age), f[(2)](age)",0.21,0.049,0.009,0.064,0.001,0.668,1.002,189,21,11,0,4,11,0
"925",925,"P36955","f[(2)](age), f[(1)](id, age)",0.252,0.472,0.003,0.004,0.001,0.269,1.002,189,21,11,0,4,11,0
"926",926,"P36959","f[(1)](id, age), f[(2)](age)",0.126,0.063,0.003,0.023,0.005,0.781,1.003,171,19,10,0,1,10,0
"927",927,"P36980","f[(1)](id, age)",0.909,0.003,0.001,0.007,0.005,0.075,1.002,189,21,11,0,4,11,0
"928",928,"P37235","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.081,0.065,0.016,0.02,0.026,0.793,1.004,143,16,6,0,3,6,0
"929",929,"P37802","f[(2)](age), f[(1)](id, age)",0.093,0.131,0.007,0.011,0.002,0.756,1.003,189,21,11,0,3,11,0
"930",930,"P37837","f[(1)](id, age), f[(2)](age)",0.094,0.041,0.002,0.007,0,0.855,1.002,189,21,11,0,1,11,0
"931",931,"P38606","f[(1)](id, age)",0.216,0.025,0.006,0.007,0.011,0.734,1.003,184,21,11,0,3,11,0
"932",932,"P39060","f[(1)](id, age), f[(2)](age)",0.316,0.155,0.004,0.027,0.002,0.496,1.005,189,21,11,0,1,11,0
"933",933,"P40121","f[(1)](id, age), f[(2)](age)",0.36,0.024,0.004,0.015,0.015,0.583,1.002,162,18,11,0,3,11,0
"934",934,"P40189","f[(1)](id, age)",0.447,0.003,0.008,0.024,0.004,0.514,1.002,189,21,11,0,3,11,0
"935",935,"P40197","f[(1)](id, age), f[(2)](age)",0.374,0.077,0.004,0.015,0.002,0.529,1.002,189,21,11,0,2,11,0
"936",936,"P40227","f[(1)](id, age), f[(3)](diseaseAge)",0.584,0.017,0.025,0.003,0.025,0.346,1.003,162,19,9,0,5,7,0
"937",937,"P40306","f[(1)](id, age), f[(2)](age), f[(3)](diseaseAge)",0.184,0.066,0.046,0.006,0.002,0.695,1.004,144,16,8,0,3,5,0
"938",938,"P40925","f[(1)](id, age), f[(2)](age)",0.122,0.091,0.003,0.005,0.001,0.777,1.003,189,21,11,0,1,11,0
"939",939,"P40926","f[(2)](age), f[(1)](id, age)",0.138,0.164,0.011,0.003,0.014,0.67,1.01,171,19,10,0,3,9,0
"940",940,"P40967","f[(1)](id, age), f[(2)](age)",0.597,0.078,0.006,0.02,0.002,0.298,1.003,189,21,11,0,1,11,0
"941",941,"P41222","f[(1)](id, age), f[(2)](age)",0.254,0.156,0.011,0.005,0.001,0.572,1.002,189,21,11,0,4,10,0
"942",942,"P41226","f[(1)](id, age), f[(4)](sex, age)",0.204,0.024,0.004,0.067,0.006,0.695,1.003,153,17,10,0,2,10,0
"943",943,"P41240","f[(1)](id, age), f[(2)](age)",0.198,0.121,0.003,0.001,0.001,0.674,1.004,153,17,8,0,0,8,0
"944",944,"P41250","f[(2)](age), f[(3)](diseaseAge), f[(1)](id, age)",0.029,0.109,0.031,0.023,0.003,0.804,1.004,171,19,9,0,2,5,0
"945",945,"P42126","f[(1)](id, age), f[(2)](age)",0.557,0.05,0.003,0.012,0.007,0.372,1.002,162,18,9,0,1,9,0
"946",946,"P42574","f[(2)](age), f[(1)](id, age)",0.122,0.2,0.029,0.002,0.006,0.642,1.002,125,14,5,0,1,1,0
"947",947,"P42785","f[(1)](id, age), f[(2)](age)",0.727,0.054,0.004,0.023,0.003,0.189,1.002,189,21,11,0,3,10,0
"948",948,"P43034","f[(1)](id, age), f[(2)](age)",0.065,0.063,0.004,0.007,0.001,0.86,1.004,189,21,11,0,1,11,0
"949",949,"P43121","f[(1)](id, age), f[(2)](age)",0.403,0.158,0.006,0.007,0.012,0.415,1.002,189,21,11,0,5,11,0
"950",950,"P43235","f[(1)](id, age), f[(3)](diseaseAge)",0.211,0.009,0.019,0.015,0.012,0.734,1.002,121,14,10,0,5,9,0
"951",951,"P43251","f[(1)](id, age)",0.852,0.015,0.002,0.001,0,0.13,1.003,189,21,11,0,1,11,0
"952",952,"P43405","f[(1)](id, age), f[(5)](group)",0.282,0.008,0.009,0.015,0.066,0.619,1.002,134,15,9,0,1,9,0
"953",953,"P43652","f[(2)](age), f[(1)](id, age)",0.271,0.429,0.002,0.004,0,0.294,1.002,189,21,11,0,1,11,0
"954",954,"P45877","f[(1)](id, age)",0.851,0.011,0.001,0.013,0.002,0.122,1.002,162,18,10,0,3,10,0
"955",955,"P45974","f[(2)](age), f[(1)](id, age)",0.158,0.21,0.006,0.001,0.002,0.624,1.002,180,20,10,0,3,10,0
"956",956,"P46108","f[(1)](id, age), f[(4)](sex, age), f[(3)](diseaseAge)",0.354,0.02,0.081,0.093,0.016,0.437,1.004,99,11,8,0,1,3,0
"957",957,"P46109","f[(5)](group), f[(1)](id, age), f[(4)](sex, age)",0.081,0.009,0.011,0.051,0.112,0.736,1.004,140,16,11,0,4,11,0
"958",958,"P46531","f[(1)](id, age), f[(2)](age)",0.54,0.074,0.004,0.011,0.022,0.349,1.004,189,21,11,0,4,11,0
"959",959,"P47755","f[(1)](id, age), f[(5)](group), f[(4)](sex, age), f[(2)](age)",0.067,0.038,0.035,0.043,0.059,0.758,1.003,117,13,9,0,2,9,0
"960",960,"P48052","f[(1)](id, age), f[(2)](age)",0.504,0.089,0.005,0.01,0.014,0.378,1.003,162,18,11,0,3,11,0
"961",961,"P48059","f[(1)](id, age), f[(2)](age)",0.161,0.094,0.011,0.009,0.002,0.723,1.002,189,21,11,0,3,10,0
"962",962,"P48147","f[(1)](id, age), f[(4)](sex, age)",0.209,0.014,0.006,0.024,0.015,0.733,1.002,189,21,11,0,3,11,0
"963",963,"P48163","f[(1)](id, age)",0.517,0.024,0.019,0.001,0.001,0.438,1.002,189,21,11,0,5,10,0
"964",964,"P48304","f[(1)](id, age)",0.038,0.002,0.004,0.007,0,0.948,1.002,99,11,7,0,2,7,0
"965",965,"P48357","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.464,0.16,0.021,0.01,0.068,0.276,1.001,125,14,7,0,3,7,0
"966",966,"P48426","f[(2)](age), f[(1)](id, age)",0.097,0.112,0.005,0.013,0.011,0.762,1.002,189,21,11,0,3,11,0
"967",967,"P48506","f[(2)](age), f[(1)](id, age), f[(3)](diseaseAge)",0.118,0.422,0.042,0.011,0.004,0.404,1.005,189,21,11,0,5,7,0
"968",968,"P48637","f[(1)](id, age), f[(2)](age)",0.545,0.036,0.004,0.019,0.016,0.38,1.003,189,21,11,0,4,11,0
"969",969,"P48723","f[(1)](id, age), f[(2)](age)",0.568,0.101,0.002,0.002,0.029,0.298,1.004,180,20,10,0,1,10,0
"970",970,"P48735","f[(2)](age), f[(1)](id, age)",0.109,0.128,0.006,0.039,0.004,0.714,1.002,126,14,8,0,0,8,0
"971",971,"P48740.1","f[(1)](id, age), f[(2)](age)",0.486,0.17,0.004,0.013,0.001,0.327,1.002,189,21,11,0,2,11,0
"972",972,"P48740.2","f[(1)](id, age), f[(2)](age)",0.316,0.078,0.005,0.004,0.011,0.587,1.002,189,21,11,0,2,11,0
"973",973,"P48745","f[(3)](diseaseAge), f[(2)](age), f[(1)](id, age)",0.047,0.06,0.077,0.004,0.025,0.787,1.004,189,21,11,0,6,8,0
"974",974,"P48960","f[(1)](id, age), f[(2)](age)",0.501,0.037,0.009,0.008,0.009,0.436,1.002,184,21,11,0,2,11,0
"975",975,"P49247","f[(2)](age), f[(1)](id, age), f[(3)](diseaseAge), f[(4)](sex, age)",0.245,0.25,0.08,0.047,0.027,0.351,1.004,99,11,6,0,2,4,0
"976",976,"P49257","f[(1)](id, age)",0.784,0.005,0.001,0.003,0.002,0.205,1.003,189,21,11,0,2,11,0
"977",977,"P49407","f[(2)](age), f[(1)](id, age)",0.096,0.114,0.006,0.017,0.001,0.766,1.003,189,21,11,0,3,11,0
"978",978,"P49588","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.149,0.035,0.005,0.013,0.034,0.763,1.002,180,20,10,0,2,10,0
"979",979,"P49591","f[(1)](id, age)",0.216,0.005,0.007,0.004,0.001,0.768,1.002,108,12,5,0,0,5,0
"980",980,"P49593","f[(2)](age), f[(1)](id, age)",0.063,0.082,0.005,0.023,0.003,0.823,1.001,153,17,10,0,0,10,0
"981",981,"P49641","f[(1)](id, age), f[(5)](group)",0.693,0.004,0.001,0.041,0.066,0.195,1.004,189,21,11,0,0,11,0
"982",982,"P49721","f[(1)](id, age), f[(3)](diseaseAge), f[(5)](group)",0.185,0.029,0.062,0.004,0.051,0.668,1.003,144,16,7,0,4,5,0
"983",983,"P49746","f[(2)](age), f[(1)](id, age)",0.24,0.32,0.006,0.008,0.029,0.397,1.002,189,21,11,0,4,11,0
"984",984,"P49773","f[(2)](age), f[(1)](id, age)",0.071,0.148,0.005,0.006,0.007,0.763,1.003,189,21,11,0,3,11,0
"985",985,"P49908","f[(1)](id, age)",0.334,0.007,0.003,0.002,0.001,0.653,1.002,189,21,11,0,0,11,0
"986",986,"P50395","f[(2)](age), f[(1)](id, age)",0.058,0.069,0.003,0.007,0.001,0.863,1.004,189,21,11,0,1,11,0
"987",987,"P50453","f[(1)](id, age), f[(4)](sex, age)",0.28,0.012,0.003,0.06,0.03,0.616,1.003,162,18,11,0,2,11,0
"988",988,"P50502","f[(2)](age), f[(1)](id, age)",0.116,0.166,0.007,0.012,0.001,0.699,1.004,162,18,9,0,0,9,0
"989",989,"P50552","f[(2)](age), f[(1)](id, age)",0.094,0.117,0.013,0.027,0.002,0.748,1.002,189,21,11,0,3,11,0
"990",990,"P50990","f[(2)](age), f[(1)](id, age)",0.034,0.063,0.007,0.019,0.004,0.873,1.003,189,21,11,0,1,11,0
"991",991,"P51149","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.123,0.118,0.015,0.026,0.022,0.696,1.003,180,20,11,0,0,11,0
"992",992,"P51452","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.178,0.06,0.022,0.044,0.005,0.691,1.003,168,19,10,0,3,8,0
"993",993,"P51693","f[(2)](age), f[(1)](id, age)",0.158,0.478,0.007,0.008,0.005,0.343,1.002,189,21,11,0,4,11,0
"994",994,"P51884","f[(1)](id, age)",0.618,0.015,0.005,0.013,0.012,0.338,1.001,189,21,11,0,3,11,0
"995",995,"P52209","f[(1)](id, age)",0.101,0.017,0.009,0.007,0.001,0.865,1.003,189,21,11,0,4,11,0
"996",996,"P52306","f[(1)](id, age), f[(5)](group)",0.064,0.016,0.01,0.023,0.029,0.857,1.004,160,18,11,0,6,11,0
"997",997,"P52565","f[(2)](age), f[(1)](id, age)",0.066,0.071,0.006,0.008,0.001,0.848,1.003,189,21,11,0,0,11,0
"998",998,"P52566","f[(1)](id, age), f[(2)](age)",0.1,0.086,0.009,0.007,0.002,0.798,1.002,189,21,11,0,2,11,0
"999",999,"P52788","f[(1)](id, age)",0.501,0.003,0.004,0.007,0.008,0.476,1.002,100,14,9,0,0,9,0
"1000",1000,"P52790","f[(1)](id, age), f[(2)](age)",0.28,0.097,0.003,0.012,0.005,0.603,1.003,180,20,10,0,4,10,0
"1001",1001,"P52799","f[(1)](id, age)",0.509,0.014,0.004,0.006,0.003,0.465,1.002,99,11,6,0,0,6,0
"1002",1002,"P52848","f[(1)](id, age), f[(2)](age)",0.46,0.152,0.002,0.007,0.001,0.379,1.003,180,20,10,0,2,10,0
"1003",1003,"P52888","f[(1)](id, age), f[(2)](age)",0.71,0.046,0.005,0.007,0.001,0.233,1.002,189,21,11,0,0,11,0
"1004",1004,"P52907","f[(2)](age), f[(1)](id, age)",0.069,0.121,0.007,0.011,0.001,0.791,1.002,189,21,11,0,1,11,0
"1005",1005,"P53004","f[(1)](id, age), f[(2)](age)",0.173,0.147,0.007,0.002,0.001,0.669,1.002,171,19,9,0,2,9,0
"1006",1006,"P53396","f[(2)](age), f[(1)](id, age)",0.114,0.291,0.01,0.001,0.003,0.582,1.002,135,15,7,0,1,7,0
"1007",1007,"P53634","f[(1)](id, age)",0.714,0.011,0.002,0.004,0,0.269,1.002,189,21,11,0,2,11,0
"1008",1008,"P54289","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.481,0.1,0.015,0.017,0.033,0.354,1.002,189,21,11,0,5,10,0
"1009",1009,"P54577","f[(1)](id, age), f[(2)](age)",0.047,0.033,0.003,0.012,0.004,0.901,1.003,117,13,6,0,2,6,0
"1010",1010,"P54727","f[(1)](id, age), f[(2)](age)",0.233,0.079,0.013,0.003,0.014,0.659,1.002,135,15,6,0,2,6,0
"1011",1011,"P54760","f[(1)](id, age), f[(2)](age)",0.347,0.082,0.003,0.002,0.001,0.564,1.006,153,17,11,0,3,11,0
"1012",1012,"P54802","f[(1)](id, age), f[(2)](age)",0.569,0.104,0.003,0.034,0.007,0.282,1.002,189,21,11,0,4,11,0
"1013",1013,"P54920","f[(1)](id, age), f[(2)](age)",0.069,0.053,0.005,0.006,0.008,0.858,1.004,189,21,11,0,3,11,0
"1014",1014,"P55000","f[(1)](id, age), f[(5)](group), f[(3)](diseaseAge)",0.32,0.025,0.03,0.013,0.042,0.57,1.002,180,20,11,0,5,8,0
"1015",1015,"P55056","f[(1)](id, age)",0.739,0.001,0.003,0.007,0,0.25,1.002,189,21,11,0,3,11,0
"1016",1016,"P55058","f[(1)](id, age), f[(2)](age)",0.523,0.073,0.005,0.011,0.009,0.379,1.003,189,21,11,0,3,11,0
"1017",1017,"P55072","f[(2)](age), f[(1)](id, age)",0.037,0.061,0.007,0.009,0.001,0.884,1.003,189,21,11,0,4,11,0
"1018",1018,"P55103","f[(2)](age), f[(1)](id, age)",0.206,0.308,0.006,0.018,0.005,0.458,1.002,189,21,11,0,2,11,0
"1019",1019,"P55268","f[(1)](id, age), f[(2)](age)",0.315,0.179,0.006,0.007,0.002,0.49,1.002,189,21,11,0,5,11,0
"1020",1020,"P55285","f[(1)](id, age), f[(2)](age)",0.363,0.213,0.012,0.001,0.002,0.409,1.003,189,21,11,0,5,10,0
"1021",1021,"P55287","f[(1)](id, age), f[(2)](age)",0.394,0.178,0.009,0.031,0.004,0.385,1.003,189,21,11,0,1,11,0
"1022",1022,"P55291","f[(1)](id, age)",0.315,0.012,0.009,0.023,0.001,0.641,1.003,189,21,11,0,4,11,0
"1023",1023,"P55957","f[(2)](age), f[(1)](id, age), f[(4)](sex, age)",0.075,0.083,0.027,0.069,0.009,0.738,1.003,171,19,11,0,3,9,0
"1024",1024,"P56199","f[(1)](id, age), f[(2)](age)",0.607,0.043,0.007,0.01,0.003,0.331,1.005,189,21,11,0,3,11,0
"1025",1025,"P58546","f[(2)](age), f[(1)](id, age)",0.041,0.106,0.005,0.021,0.001,0.826,1.003,189,21,11,0,2,11,0
"1026",1026,"P59666","f[(1)](id, age)",0.366,0.008,0.002,0.01,0,0.613,1.004,189,21,11,0,1,11,0
"1027",1027,"P60022","f[(1)](id, age), f[(3)](diseaseAge), f[(2)](age), f[(5)](group)",0.315,0.09,0.092,0.03,0.034,0.439,1.003,114,13,4,0,2,2,0
"1028",1028,"P60174","f[(2)](age), f[(1)](id, age)",0.051,0.075,0.004,0.006,0.001,0.864,1.007,189,21,11,0,0,11,0
"1029",1029,"P60709","f[(2)](age), f[(1)](id, age)",0.066,0.099,0.011,0.016,0.002,0.805,1.003,189,21,11,0,4,11,0
"1030",1030,"P60842","f[(1)](id, age), f[(2)](age)",0.07,0.049,0.005,0.017,0.001,0.858,1.003,189,21,11,0,2,11,0
"1031",1031,"P60953","f[(1)](id, age), f[(5)](group)",0.274,0.015,0.007,0.005,0.09,0.609,1.002,162,18,8,0,1,8,0
"1032",1032,"P60981","f[(2)](age), f[(1)](id, age)",0.065,0.096,0.006,0.007,0.001,0.825,1.005,171,19,10,0,2,10,0
"1033",1033,"P61019","f[(5)](group), f[(1)](id, age), f[(2)](age)",0.137,0.124,0.022,0.023,0.175,0.518,1.003,99,11,7,0,4,6,0
"1034",1034,"P61020","f[(1)](id, age), f[(4)](sex, age)",0.141,0.018,0.01,0.042,0.001,0.788,1.012,126,14,7,0,3,6,0
"1035",1035,"P61081","f[(1)](id, age), f[(4)](sex, age)",0.054,0.005,0.015,0.025,0.018,0.883,1.003,98,11,7,0,2,6,0
"1036",1036,"P61086","f[(1)](id, age), f[(2)](age)",0.222,0.05,0.002,0.002,0.011,0.714,1.002,125,14,5,0,0,5,0
"1037",1037,"P61088","f[(1)](id, age), f[(2)](age)",0.14,0.112,0.006,0.001,0.009,0.732,1.004,162,18,8,0,2,8,0
"1038",1038,"P61106","f[(1)](id, age), f[(2)](age)",0.187,0.152,0.009,0.011,0.016,0.626,1.005,171,19,9,0,0,9,0
"1039",1039,"P61158","f[(2)](age), f[(1)](id, age)",0.066,0.083,0.008,0.024,0.002,0.815,1.004,189,21,11,0,2,11,0
"1040",1040,"P61160","f[(2)](age), f[(1)](id, age)",0.071,0.083,0.02,0.021,0.002,0.803,1.004,189,21,11,0,5,7,0
"1041",1041,"P84077","f[(1)](id, age), f[(2)](age), f[(3)](diseaseAge)",0.135,0.063,0.033,0.031,0.002,0.737,1.003,189,21,11,0,4,7,0
"1042",1042,"P61224","f[(1)](id, age), f[(2)](age)",0.276,0.105,0.006,0.019,0.014,0.579,1.002,189,21,11,0,4,11,0
"1043",1043,"P61626","f[(1)](id, age)",0.664,0.003,0.004,0.001,0.003,0.325,1.002,189,21,11,0,4,11,0
"1044",1044,"P61769","f[(1)](id, age), f[(5)](group)",0.714,0.028,0.007,0.009,0.047,0.195,1.002,189,21,11,0,5,10,0
"1045",1045,"P61970","f[(2)](age), f[(1)](id, age)",0.128,0.242,0.009,0.022,0.001,0.598,1.006,180,20,10,0,4,9,0
"1046",1046,"P61981","f[(1)](id, age), f[(2)](age)",0.078,0.051,0.006,0.012,0.002,0.851,1.002,189,21,11,0,1,11,0
"1047",1047,"P62136","f[(4)](sex, age), f[(1)](id, age), f[(2)](age)",0.057,0.036,0.008,0.074,0.017,0.809,1.003,153,17,11,0,1,11,0
"1048",1048,"P62258","f[(1)](id, age), f[(2)](age)",0.067,0.054,0.005,0.014,0.001,0.859,1.002,189,21,11,0,2,11,0
"1049",1049,"P62263","f[(1)](id, age), f[(5)](group), f[(2)](age)",0.261,0.094,0.003,0.014,0.234,0.394,1.003,144,16,9,0,2,9,0
"1050",1050,"P62328","f[(1)](id, age), f[(2)](age)",0.102,0.07,0.025,0.01,0.002,0.791,1.005,189,21,11,0,3,6,0
"1051",1051,"P62805","f[(1)](id, age), f[(5)](group), f[(2)](age)",0.108,0.037,0.017,0.014,0.045,0.779,1.002,135,15,10,0,3,9,0
"1052",1052,"P62820","f[(1)](id, age)",0.722,0.041,0.001,0.004,0.001,0.23,1.003,189,21,11,0,2,11,0
"1053",1053,"P62937","f[(1)](id, age), f[(2)](age)",0.094,0.053,0.004,0.01,0.002,0.838,1.004,189,21,11,0,3,11,0
"1054",1054,"P62942","f[(1)](id, age), f[(2)](age)",0.061,0.036,0.007,0.014,0.002,0.88,1.005,189,21,11,0,2,11,0
"1055",1055,"P62993","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.102,0.048,0.01,0.039,0.004,0.798,1.003,171,19,11,0,3,11,0
"1056",1056,"P63104","f[(2)](age), f[(1)](id, age)",0.051,0.098,0.01,0.017,0.003,0.82,1.004,189,21,11,0,4,11,0
"1057",1057,"P63208","f[(1)](id, age), f[(2)](age)",0.622,0.106,0.002,0.003,0.02,0.247,1.003,144,16,8,0,1,8,0
"1058",1058,"P63241","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.206,0.057,0.006,0.006,0.055,0.671,1.002,171,19,9,0,1,9,0
"1059",1059,"P67936","f[(2)](age), f[(1)](id, age)",0.067,0.114,0.01,0.019,0.002,0.789,1.003,189,21,11,0,3,11,0
