"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"729",729,"P13686","f[(1)](id, age)",0.504,0.003,0.002,0.02,0.006,0.465,1.002,189,21,11,0,1,11,0
"730",730,"P13688","f[(1)](id, age), f[(5)](group)",0.631,0.028,0.004,0.002,0.06,0.275,1.002,180,20,10,0,2,10,0
"731",731,"P13693","f[(2)](age), f[(1)](id, age)",0.049,0.051,0.011,0.023,0.003,0.863,1.003,189,21,11,0,2,11,0
"732",732,"P13716","f[(2)](age), f[(1)](id, age)",0.166,0.32,0.009,0.003,0.001,0.501,1.002,189,21,11,0,5,11,0
"733",733,"P13727","f[(1)](id, age)",0.592,0.002,0.004,0.001,0.006,0.395,1.003,189,21,11,0,1,11,0
"734",734,"P13796","f[(1)](id, age), f[(2)](age), f[(3)](diseaseAge)",0.323,0.119,0.045,0.006,0.008,0.499,1.003,189,21,11,0,6,8,0
"735",735,"P13797","f[(1)](id, age), f[(2)](age)",0.393,0.14,0.002,0.018,0.011,0.436,1.003,189,21,11,0,0,11,0
"736",736,"P13929","f[(1)](id, age), f[(4)](sex, age)",0.424,0.021,0.009,0.078,0.002,0.465,1.004,162,18,9,0,4,9,0
"737",737,"P14151","f[(1)](id, age), f[(2)](age)",0.42,0.123,0.009,0.034,0.002,0.412,1.002,189,21,11,0,3,11,0
"738",738,"P14174","f[(1)](id, age), f[(2)](age)",0.1,0.046,0.002,0.003,0.003,0.845,1.003,189,21,11,0,0,11,0
"739",739,"P14209","f[(1)](id, age), f[(4)](sex, age)",0.447,0.004,0.001,0.064,0.03,0.454,1.004,171,19,11,0,2,11,0
"740",740,"P14324","f[(1)](id, age), f[(2)](age)",0.115,0.053,0.005,0.003,0.005,0.819,1.004,144,16,7,0,1,7,0
"741",741,"P14384","f[(1)](id, age), f[(4)](sex, age)",0.304,0.005,0.005,0.041,0.001,0.644,1.003,171,19,11,0,1,11,0
"742",742,"P14543","f[(1)](id, age), f[(2)](age)",0.482,0.225,0.002,0,0.001,0.291,1.002,189,21,11,0,1,11,0
